n,padded_n,algo,trial,ms
2,2,naive,1,0.006
2,2,recursive,1,0.001
2,2,strassen,1,0.002
2,2,naive,2,0.0
2,2,recursive,2,0.0
2,2,strassen,2,0.003
2,2,naive,3,0.0
2,2,recursive,3,0.0
2,2,strassen,3,0.002
2,2,naive,4,0.001
2,2,recursive,4,0.001
2,2,strassen,4,0.002
2,2,naive,5,0.001
2,2,recursive,5,0.0
2,2,strassen,5,0.001
4,4,naive,1,0.0
4,4,recursive,1,0.001
4,4,strassen,1,0.013
4,4,naive,2,0.0
4,4,recursive,2,0.001
4,4,strassen,2,0.013
4,4,naive,3,0.001
4,4,recursive,3,0.0
4,4,strassen,3,0.025
4,4,naive,4,0.0
4,4,recursive,4,0.0
4,4,strassen,4,0.012
4,4,naive,5,0.001
4,4,recursive,5,0.0
4,4,strassen,5,0.008
5,5,naive,1,0.0
5,8,recursive,1,0.003
5,8,strassen,1,0.046
5,5,naive,2,0.0
5,8,recursive,2,0.002
5,8,strassen,2,0.047
5,5,naive,3,0.0
5,8,recursive,3,0.003
5,8,strassen,3,0.046
5,5,naive,4,0.001
5,8,recursive,4,0.002
5,8,strassen,4,0.046
5,5,naive,5,0.0
5,8,recursive,5,0.002
5,8,strassen,5,0.054
7,7,naive,1,0.001
7,8,recursive,1,0.003
7,8,strassen,1,0.051
7,7,naive,2,0.001
7,8,recursive,2,0.002
7,8,strassen,2,0.045
7,7,naive,3,0.001
7,8,recursive,3,0.003
7,8,strassen,3,0.048
7,7,naive,4,0.0
7,8,recursive,4,0.003
7,8,strassen,4,0.046
7,7,naive,5,0.001
7,8,recursive,5,0.002
7,8,strassen,5,0.045
8,8,naive,1,0.001
8,8,recursive,1,0.003
8,8,strassen,1,0.045
8,8,naive,2,0.001
8,8,recursive,2,0.003
8,8,strassen,2,0.045
8,8,naive,3,0.0
8,8,recursive,3,0.003
8,8,strassen,3,0.044
8,8,naive,4,0.001
8,8,recursive,4,0.003
8,8,strassen,4,0.053
8,8,naive,5,0.0
8,8,recursive,5,0.002
8,8,strassen,5,0.046
9,9,naive,1,0.001
9,16,recursive,1,0.018
9,16,strassen,1,0.319
9,9,naive,2,0.0
9,16,recursive,2,0.015
9,16,strassen,2,0.324
9,9,naive,3,0.001
9,16,recursive,3,0.016
9,16,strassen,3,0.328
9,9,naive,4,0.001
9,16,recursive,4,0.015
9,16,strassen,4,0.315
9,9,naive,5,0.001
9,16,recursive,5,0.015
9,16,strassen,5,0.316
13,13,naive,1,0.001
13,16,recursive,1,0.015
13,16,strassen,1,0.287
13,13,naive,2,0.001
13,16,recursive,2,0.016
13,16,strassen,2,0.272
13,13,naive,3,0.002
13,16,recursive,3,0.015
13,16,strassen,3,0.289
13,13,naive,4,0.002
13,16,recursive,4,0.016
13,16,strassen,4,0.27
13,13,naive,5,0.002
13,16,recursive,5,0.016
13,16,strassen,5,0.225
16,16,naive,1,0.002
16,16,recursive,1,0.015
16,16,strassen,1,0.229
16,16,naive,2,0.003
16,16,recursive,2,0.016
16,16,strassen,2,0.225
16,16,naive,3,0.003
16,16,recursive,3,0.017
16,16,strassen,3,0.224
16,16,naive,4,0.003
16,16,recursive,4,0.017
16,16,strassen,4,0.224
16,16,naive,5,0.003
16,16,recursive,5,0.015
16,16,strassen,5,0.225
21,21,naive,1,0.031
21,32,recursive,1,0.129
21,32,strassen,1,1.716
21,21,naive,2,0.009
21,32,recursive,2,0.126
21,32,strassen,2,1.738
21,21,naive,3,0.007
21,32,recursive,3,0.126
21,32,strassen,3,1.478
21,21,naive,4,0.006
21,32,recursive,4,0.106
21,32,strassen,4,1.461
21,21,naive,5,0.006
21,32,recursive,5,0.107
21,32,strassen,5,1.463
29,29,naive,1,0.016
29,32,recursive,1,0.105
29,32,strassen,1,1.414
29,29,naive,2,0.017
29,32,recursive,2,0.095
29,32,strassen,2,1.261
29,29,naive,3,0.014
29,32,recursive,3,0.091
29,32,strassen,3,1.253
29,29,naive,4,0.017
29,32,recursive,4,0.098
29,32,strassen,4,1.253
29,29,naive,5,0.017
29,32,recursive,5,0.097
29,32,strassen,5,1.256
32,32,naive,1,0.022
32,32,recursive,1,0.09
32,32,strassen,1,1.127
32,32,naive,2,0.021
32,32,recursive,2,0.085
32,32,strassen,2,1.118
32,32,naive,3,0.019
32,32,recursive,3,0.086
32,32,strassen,3,1.117
32,32,naive,4,0.021
32,32,recursive,4,0.084
32,32,strassen,4,1.129
32,32,naive,5,0.02
32,32,recursive,5,0.092
32,32,strassen,5,1.091
37,37,naive,1,0.028
37,64,recursive,1,0.572
37,64,strassen,1,7.053
37,37,naive,2,0.02
37,64,recursive,2,0.522
37,64,strassen,2,6.371
37,37,naive,3,0.025
37,64,recursive,3,0.53
37,64,strassen,3,5.938
37,37,naive,4,0.023
37,64,recursive,4,0.483
37,64,strassen,4,5.57
37,37,naive,5,0.022
37,64,recursive,5,0.455
37,64,strassen,5,5.351
61,61,naive,1,0.071
61,64,recursive,1,0.439
61,64,strassen,1,5.109
61,61,naive,2,0.068
61,64,recursive,2,0.418
61,64,strassen,2,5.001
61,61,naive,3,0.066
61,64,recursive,3,0.405
61,64,strassen,3,4.825
61,61,naive,4,0.064
61,64,recursive,4,0.394
61,64,strassen,4,4.791
61,61,naive,5,0.063
61,64,recursive,5,0.387
61,64,strassen,5,4.573
64,64,naive,1,0.072
64,64,recursive,1,0.379
64,64,strassen,1,4.505
64,64,naive,2,0.071
64,64,recursive,2,0.37
64,64,strassen,2,4.417
64,64,naive,3,0.072
64,64,recursive,3,0.369
64,64,strassen,3,4.391
64,64,naive,4,0.075
64,64,recursive,4,0.343
64,64,strassen,4,4.152
64,64,naive,5,0.077
64,64,recursive,5,0.344
64,64,strassen,5,4.269
69,69,naive,1,0.084
69,128,recursive,1,2.836
69,128,strassen,1,28.228
69,69,naive,2,0.102
69,128,recursive,2,2.89
69,128,strassen,2,28.459
69,69,naive,3,0.087
69,128,recursive,3,2.848
69,128,strassen,3,29.208
69,69,naive,4,0.091
69,128,recursive,4,2.659
69,128,strassen,4,28.73
69,69,naive,5,0.086
69,128,recursive,5,2.842
69,128,strassen,5,28.583
125,125,naive,1,0.572
125,128,recursive,1,2.897
125,128,strassen,1,28.295
125,125,naive,2,0.561
125,128,recursive,2,3.079
125,128,strassen,2,28.229
125,125,naive,3,0.543
125,128,recursive,3,2.903
125,128,strassen,3,29.084
125,125,naive,4,0.571
125,128,recursive,4,2.924
125,128,strassen,4,29.006
125,125,naive,5,0.573
125,128,recursive,5,2.89
125,128,strassen,5,28.708
128,128,naive,1,0.608
128,128,recursive,1,2.843
128,128,strassen,1,27.965
128,128,naive,2,0.638
128,128,recursive,2,2.894
128,128,strassen,2,28.149
128,128,naive,3,0.641
128,128,recursive,3,2.961
128,128,strassen,3,28.2
128,128,naive,4,0.615
128,128,recursive,4,2.903
128,128,strassen,4,28.419
128,128,naive,5,0.635
128,128,recursive,5,2.924
128,128,strassen,5,29.047
133,133,naive,1,0.686
133,256,recursive,1,22.786
133,256,strassen,1,202.782
133,133,naive,2,0.708
133,256,recursive,2,22.862
133,256,strassen,2,197.537
133,133,naive,3,0.69
133,256,recursive,3,22.724
133,256,strassen,3,198.35
133,133,naive,4,0.682
133,256,recursive,4,23.021
133,256,strassen,4,197.121
133,133,naive,5,0.656
133,256,recursive,5,22.801
133,256,strassen,5,197.508
253,253,naive,1,4.677
253,256,recursive,1,22.401
253,256,strassen,1,196.602
253,253,naive,2,4.798
253,256,recursive,2,23.528
253,256,strassen,2,190.564
253,253,naive,3,4.702
253,256,recursive,3,23.257
253,256,strassen,3,193.537
253,253,naive,4,4.721
253,256,recursive,4,23.372
253,256,strassen,4,194.659
253,253,naive,5,4.666
253,256,recursive,5,23.001
253,256,strassen,5,197.527
256,256,naive,1,9.107
256,256,recursive,1,23.557
256,256,strassen,1,196.563
256,256,naive,2,9.092
256,256,recursive,2,23.089
256,256,strassen,2,199.963
256,256,naive,3,9.002
256,256,recursive,3,22.913
256,256,strassen,3,198.341
256,256,naive,4,8.743
256,256,recursive,4,23.238
256,256,strassen,4,197.305
256,256,naive,5,9.101
256,256,recursive,5,22.884
256,256,strassen,5,200.272
261,261,naive,1,5.508
261,512,recursive,1,185.141
261,512,strassen,1,1377.084
261,261,naive,2,5.535
261,512,recursive,2,182.972
261,512,strassen,2,1410.449
261,261,naive,3,5.383
261,512,recursive,3,185.342
261,512,strassen,3,1425.287
261,261,naive,4,5.485
261,512,recursive,4,185.434
261,512,strassen,4,1399.444
261,261,naive,5,5.509
261,512,recursive,5,185.531
261,512,strassen,5,1406.063
509,509,naive,1,37.769
509,512,recursive,1,189.201
509,512,strassen,1,1413.301
509,509,naive,2,38.635
509,512,recursive,2,188.188
509,512,strassen,2,1373.72
509,509,naive,3,38.413
509,512,recursive,3,187.556
509,512,strassen,3,1382.901
509,509,naive,4,38.32
509,512,recursive,4,188.343
509,512,strassen,4,1398.162
509,509,naive,5,37.367
509,512,recursive,5,187.572
509,512,strassen,5,1398.492
512,512,naive,1,77.766
512,512,recursive,1,189.57
512,512,strassen,1,1386.169
512,512,naive,2,77.399
512,512,recursive,2,189.123
512,512,strassen,2,1393.391
512,512,naive,3,78.178
512,512,recursive,3,190.394
512,512,strassen,3,1398.727
512,512,naive,4,77.671
512,512,recursive,4,189.907
512,512,strassen,4,1399.499
512,512,naive,5,78.228
512,512,recursive,5,190.564
512,512,strassen,5,1389.331
517,517,naive,1,43.266
517,1024,recursive,1,1525.788
517,1024,strassen,1,9726.761
517,517,naive,2,42.359
517,1024,recursive,2,1527.545
517,1024,strassen,2,9773.578
517,517,naive,3,43.275
517,1024,recursive,3,1529.405
517,1024,strassen,3,9770.346
517,517,naive,4,42.91
517,1024,recursive,4,1535.813
517,1024,strassen,4,10173.369
517,517,naive,5,43.284
517,1024,recursive,5,1548.216
517,1024,strassen,5,10248.564
1021,1021,naive,1,382.515
1021,1024,recursive,1,1574.575
1021,1024,strassen,1,10088.371
1021,1021,naive,2,385.655
1021,1024,recursive,2,1584.495
1021,1024,strassen,2,10230.241
1021,1021,naive,3,382.338
1021,1024,recursive,3,1570.97
1021,1024,strassen,3,9997.044
1021,1021,naive,4,380.906
1021,1024,recursive,4,1571.202
1021,1024,strassen,4,9944.871
1021,1021,naive,5,381.953
1021,1024,recursive,5,1572.908
1021,1024,strassen,5,10061.41
1024,1024,naive,1,909.671
1024,1024,recursive,1,1569.422
1024,1024,strassen,1,10007.621
1024,1024,naive,2,909.669
1024,1024,recursive,2,1573.0
1024,1024,strassen,2,10159.362
1024,1024,naive,3,911.006
1024,1024,recursive,3,1573.319
1024,1024,strassen,3,10151.724
1024,1024,naive,4,910.98
1024,1024,recursive,4,1574.766
1024,1024,strassen,4,10261.766
1024,1024,naive,5,910.012
1024,1024,recursive,5,1576.744
1024,1024,strassen,5,10121.159
1029,1029,naive,1,404.226
1029,2048,recursive,1,15134.457
1029,2048,strassen,1,69369.663
1029,1029,naive,2,404.412
1029,2048,recursive,2,15426.853
1029,2048,strassen,2,69737.528
1029,1029,naive,3,407.842
1029,2048,recursive,3,15195.388
1029,2048,strassen,3,69919.113
1029,1029,naive,4,406.276
1029,2048,recursive,4,15228.655
1029,2048,strassen,4,70543.369
1029,1029,naive,5,406.081
1029,2048,recursive,5,15420.488
1029,2048,strassen,5,70232.769
2045,2045,naive,1,4594.468
2045,2048,recursive,1,15332.55
2045,2048,strassen,1,69766.897
2045,2045,naive,2,4579.074
2045,2048,recursive,2,15350.976
2045,2048,strassen,2,70005.008
2045,2045,naive,3,4584.444
2045,2048,recursive,3,15333.167
2045,2048,strassen,3,69860.821
2045,2045,naive,4,4584.929
2045,2048,recursive,4,15355.009
2045,2048,strassen,4,70477.396
2045,2045,naive,5,4608.808
2045,2048,recursive,5,15480.112
2045,2048,strassen,5,70508.743
2048,2048,naive,1,11440.741
2048,2048,recursive,1,15384.997
2048,2048,strassen,1,70899.656
2048,2048,naive,2,11185.268
2048,2048,recursive,2,15362.258
2048,2048,strassen,2,70195.55
2048,2048,naive,3,11356.184
2048,2048,recursive,3,15357.603
2048,2048,strassen,3,70124.494
2048,2048,naive,4,11290.635
2048,2048,recursive,4,15392.551
2048,2048,strassen,4,70243.846
2048,2048,naive,5,11537.483
2048,2048,recursive,5,15393.45
2048,2048,strassen,5,70884.2
2053,2053,naive,1,4910.717
2053,4096,recursive,1,171595.964
2053,4096,strassen,1,492009.68
2053,2053,naive,2,4887.671
2053,4096,recursive,2,172476.569
2053,4096,strassen,2,500369.633
2053,2053,naive,3,4864.243
2053,4096,recursive,3,169619.664
2053,4096,strassen,3,490547.717
2053,2053,naive,4,4901.998
2053,4096,recursive,4,169844.029
2053,4096,strassen,4,491856.815
2053,2053,naive,5,4898.776
2053,4096,recursive,5,169935.811
2053,4096,strassen,5,492912.381
4093,4093,naive,1,172821.824
4093,4096,recursive,1,174263.001
4093,4096,strassen,1,503474.145
4093,4093,naive,2,168201.44
4093,4096,recursive,2,175239.247
4093,4096,strassen,2,504987.754
4093,4093,naive,3,168078.377
4093,4096,recursive,3,174948.833
4093,4096,strassen,3,506284.725
4093,4093,naive,4,168701.804
4093,4096,recursive,4,175148.03
4093,4096,strassen,4,504327.547
4093,4093,naive,5,167271.268
4093,4096,recursive,5,172112.501
4093,4096,strassen,5,497756.666
4096,4096,naive,1,254133.14
4096,4096,recursive,1,171980.6
4096,4096,strassen,1,496357.844
4096,4096,naive,2,253314.379
4096,4096,recursive,2,171100.562
4096,4096,strassen,2,502721.714
4096,4096,naive,3,267260.157
4096,4096,recursive,3,172441.607
4096,4096,strassen,3,516394.063
4096,4096,naive,4,260932.731
4096,4096,recursive,4,169440.003
4096,4096,strassen,4,494346.796
4096,4096,naive,5,253429.649
4096,4096,recursive,5,170316.402
4096,4096,strassen,5,500501.96
4101,4101,naive,1,163509.689
4101,8192,recursive,1,1359293.167
4101,8192,strassen,1,3480428.453
4101,4101,naive,2,160175.26
4101,8192,recursive,2,1346644.853
4101,8192,strassen,2,3402102.827
4101,4101,naive,3,158991.139
4101,8192,recursive,3,1341709.665
4101,8192,strassen,3,3393657.689
4101,4101,naive,4,158625.985
4101,8192,recursive,4,1338798.62
4101,8192,strassen,4,3389092.792
4101,4101,naive,5,158498.162
4101,8192,recursive,5,1337700.02
4101,8192,strassen,5,3388222.719
